id,name_v
1,Австралия
2,Австрия
3,Азербайджан
4,Албания
5,Алжир
6,Ангола
7,Андорра
8,Антигуа и Барбуда
9,Аргентина
10,Армения
11,Афганистан
12,Багамские Острова
13,Бангладеш
14,Барбадос
15,Бахрейн
16,Белиз
17,Белоруссия
18,Бельгия
19,Бенин
20,Болгария
21,Боливия
22,Босния и Герцеговина
23,Ботсвана
24,Бразилия
25,Бруней
26,Буркина-Фасо
27,Бурунди
28,Бутан
29,Вануату
30,Ватикан
31,Великобритания
32,Венгрия
33,Венесуэла
34,Восточный Тимор
35,Вьетнам
36,Габон
37,Гаити
38,Гайана
39,Гамбия
40,Гана
41,Гватемала
42,Гвинея
43,Гвинея-Бисау
44,Германия
45,Гондурас
46,Государство Палестина
47,Гренада
48,Греция
49,Грузия
50,Дания
51,Джибути
52,Доминика
53,Доминиканская Республика
54,ДР Конго
55,Египет
56,Замбия
57,Зимбабве
58,Израиль
59,Индия
60,Индонезия
61,Иордания
62,Ирак
63,Иран
64,Ирландия
65,Исландия
66,Испания
67,Италия
68,Йемен
69,Кабо-Верде
70,Казахстан
71,Камбоджа
72,Камерун
73,Канада
74,Катар
75,Кения
76,Кипр
77,Киргизия
78,Кирибати
79,Китай
80,КНДР
81,Колумбия
82,Коморские Острова
83,Коста-Рика
84,Кот-д'Ивуар
85,Куба
86,Кувейт
87,Лаос
88,Латвия
89,Лесото
90,Либерия
91,Ливан
92,Ливия
93,Литва
94,Лихтенштейн
95,Люксембург
96,Маврикий
97,Мавритания
98,Мадагаскар
99,Малави
100,Малайзия
101,Мали
102,Мальдивские Острова
103,Мальта
104,Марокко
105,Маршалловы Острова
106,Мексика
107,Мозамбик
108,Молдавия
109,Монако
110,Монголия
111,Мьянма
112,Намибия
113,Науру
114,Непал
115,Нигер
116,Нигерия
117,Нидерланды
118,Никарагуа
119,Новая Зеландия
120,Норвегия
121,ОАЭ
122,Оман
123,Пакистан
124,Палау
125,Панама
126,Папуа - Новая Гвинея
127,Парагвай
128,Перу
129,Польша
130,Португалия
131,Республика Конго
132,Республика Корея
133,Россия
134,Руанда
135,Румыния
136,Сальвадор
137,Самоа
138,Сан-Марино
139,Сан-Томе и Принсипи
140,Саудовская Аравия
141,Северная Македония
142,Сейшельские Острова
143,Сенегал
144,Сент-Винсент и Гренадины
145,Сент-Китс и Невис
146,Сент-Люсия
147,Сербия
148,Сингапур
149,Сирия
150,Словакия
151,Словения
152,Соломоновы Острова
153,Сомали
154,Судан
155,Суринам
156,США
157,Сьерра-Леоне
158,Таджикистан
159,Таиланд
160,Танзания
161,Того
162,Тонга
163,Тринидад и Тобаго
164,Тувалу
165,Тунис
166,Туркмения
167,Турция
168,Уганда
169,Узбекистан
170,Украина
171,Уругвай
172,Федеративные Штаты Микронезии
173,Фиджи
174,Филиппины
175,Финляндия
176,Франция
177,Хорватия
178,ЦАР
179,Чад
180,Черногория
181,Чехия
182,Чили
183,Швейцария
184,Швеция
185,Шри-Ланка
186,Эквадор
187,Экваториальная Гвинея
188,Эритрея
189,Эсватини
190,Эстония
191,Эфиопия
192,ЮАР
193,Южная Осетия
194,Южный Судан
195,Ямайка
196,Япония
